TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
51:54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-C51A
51:54.6,0,1.0794953,1.0892307,0,0,0.30906808,0.705056,0,0,0.38644812,0.3628081,0,0,0.120606504,0.32291225,0,0,-0.6778254,-0.33477154,0,340.74954,687.9601,661.14264,500.06104,768.6779,778.67914,791.5126,1337.9509,0.337646484,-0.129577637,0.933532715,-0.06729126,1.00189209,-3.633728027,7.893775838638152,7.534431013518346,5.519292372982381,4.601566888396157,0,0,0,0,0,0,0,0,0,0,0,0,88.7688,1,2,1,1,2,67.89,
51:55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
51:55.6,0,1.0794953,1.0892307,0,0,0.30906808,0.705056,0,0,0.38644812,0.3628081,0,0,0.120606504,0.32291225,0,0,-0.6778254,-0.33477154,0,346.14844,752.3927,731.4167,352.87494,765.5802,768.5009,757.9686,1266.6147,0.424865723,0.008056641,0.917602539,6.945953369140625,0.478515625,-2.452392578,7.838508452,7.484778866556994,5.450841379968052,4.549473332856496,0,0,0,0,0,0,0,0,0,0,0,0,87.97931,1,2,1,1,2,67.89,
51:55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
51:56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
51:56.6,0,1.0794953,1.0892307,0,0,0.30906808,0.705056,0,0,0.38644812,0.3628081,0,0,0.120606504,0.32291225,0,0,-0.6778254,-0.33477154,0,333.58054,746.02026,707.43146,946.1332,785.1401,771.24457,753.4548,1225.1938,0.391479492,0.083435059,0.909912109,-3.671112061,-0.91217041,-2.280426025,7.8796767040984195,7.5276561047135395,5.498876093746275,4.592289535798583,0,0,0,0,0,0,0,0,0,0,0,0,85.16286,1,2,1,1,4,67.87,
51:57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
51:57.6,0,1.2820879,1.2528791,0,0,0.44899994,0.3993205,0,0,0.17258321,0.4704453,0,0,-0.1390905,0.20747973,0,0,-0.33917615,-0.08020152,0,1158.3715,767.61584,745.1352,890.10864,764.6066,754.8709,751.5962,1254.7549,0.44744873,-0.1640625,0.889831543,-0.710296631,0.949554443,2.788848876953125,7.849433755334621,7.502875807643707,5.459111651527072,4.562779009608278,0,0,0,0,0,0,0,0,0,0,0,0,83.59824,1,2,1,1,2,67.87,
51:58.6,0,1.3913416,1.2163615,0,0,-0.01398607,0.3152491,0,0,0.30875498,0.3953918,0,0,-0.1137427,0.101778,0,0,-0.53167677,-0.33937877,0,679.46344,757.8801,738.2317,706.3694,762.748,773.1917,772.48364,1232.9823,0.421020508,-0.15826416,0.899963379,1.742095947265625,6.938476563,1.173858642578125,7.861457692582791,7.515967861144887,5.470555754237894,4.573917936246811,0,0,0,0,0,0,0,0,0,0,0,0,83.34114,1,2,1,1,2,67.87,
51:59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
51:59.6,0,1.3716213,1.0079561,0,0,0.30184084,0.29495594,0,0,0.6071356,0.35033217,0,0,0.12917171,-0.049952388,0,0,-0.70428354,-0.5257089,0,632.28955,727.78796,715.22003,753.01227,946.4872,1036.4097,1031.0109,1450,-0.115966797,0.034667969,1.015563965,-2.100982666,18.51257324,16.800384521484375,7.884345898004435,7.550513792527955,5.486699568,4.598881338960017,0,0,0,0,0,0,0,0,0,0,0,0,84.46712,1,2,1,1,2,67.87,
